Date,LCOc1,NWEMURLCRKMc1,.IMOEX,RSX,BFO-URL-NWE,Urals loading
06/01/2017,56.75,-0.545,2213.93,21.52,-2.5,"13,918,639"
13/01/2017,55.59,1.238,2195.19,21.45,-2.05,"14,805,846"
20/01/2017,55.49,0.386,2159.96,21.08,-1.5,"13,775,694"
27/01/2017,55.46,0.349,2266.05,22.08,-1.6,"13,326,052"
03/02/2017,56.72,0.220,2226.61,21.8,-1.75,"15,387,914"
10/02/2017,56.61,0.976,2162.19,21.73,-2.2,"14,753,986"
17/02/2017,55.72,0.390,2128.21,21.22,-1.9,"17,321,594"
24/02/2017,56.04,0.540,2093.09,20.73,-2.5,"19,164,475"
03/03/2017,55.71,-0.049,2056.89,20.56,-2,"14,544,394"
10/03/2017,51.27,0.278,1973.96,19.5,-2.05,"13,618,943"
17/03/2017,51.67,0.863,2036.96,20.89,-2.25,"17,771,786"
24/03/2017,50.97,0.754,2039.77,20.95,-2.8,"16,000,044"
31/03/2017,52.74,0.487,1995.9,20.67,-2.7,"16,787,282"
07/04/2017,55.26,1.262,2020.23,20.6,-2.13,"15,824,721"
21/04/2017,52.05,1.735,1944.72,20.14,-1.9,"15,026,917"
28/04/2017,51.71,-0.162,2016.71,20.88,-1.65,"16,171,206"
05/05/2017,49.47,1.516,2002.41,20.32,-1.45,"12,292,495"
12/05/2017,50.91,1.587,1994.58,20.46,-1.35,"15,716,132"
19/05/2017,53.8,1.233,1962.4,20.26,-1.5,"17,181,025"
26/05/2017,52.23,1.704,1934.25,20.31,-1.35,"14,797,229"
02/06/2017,49.95,1.947,1881.87,19.69,-1.35,"11,127,747"
09/06/2017,48.3,2.179,1883.34,19.39,-1.3,"11,772,141"
16/06/2017,47.29,2.278,1822.91,18.75,-1.15,"17,090,410"
23/06/2017,45.61,2.930,1867.46,18.85,-0.9,"13,176,643"
30/06/2017,47.9,2.520,1879.5,19.17,-0.95,"11,891,712"
07/07/2017,46.88,2.368,1912.48,19.08,-0.7,"11,141,171"
14/07/2017,49.09,3.010,1960.69,20.21,-0.85,"12,773,066"
21/07/2017,47.93,3.352,1925.13,20,-0.65,"16,733,085"
28/07/2017,52.63,2.012,1916.75,19.98,-0.55,"13,382,407"
04/08/2017,52.46,1.681,1953.49,20.12,-0.3,"10,139,359"
11/08/2017,52.05,2.885,1944.83,19.96,-0.3,"15,254,483"
18/08/2017,52.86,3.104,1930.71,20.26,-0.6,"15,313,857"
25/08/2017,52.35,2.255,1979.14,20.74,-1.25,"13,031,411"
01/09/2017,52.69,2.910,2010.98,21.59,-1.3,"16,454,237"
08/09/2017,53.75,1.949,2032.75,21.63,-1.45,"14,075,355"
15/09/2017,55.48,0.780,2053.81,21.95,-2.15,"13,132,104"
22/09/2017,56.9,-0.343,2051.63,21.83,-2.05,"15,375,432"
29/09/2017,57.51,1.048,2077.19,22.29,-2.05,"14,956,929"
06/10/2017,55.68,3.250,2093.86,22.13,-1,"16,931,079"
13/10/2017,57.2,3.730,2098.77,22.56,-1.55,"14,802,135"
27/10/2017,60.5,2.460,2068.76,21.99,-0.95,"13,050,065"
03/11/2017,62.09,3.510,2081.15,21.78,-1.1,"12,317,332"
10/11/2017,63.6,3.600,2169.26,22.28,-1.1,"14,674,661"
17/11/2017,62.72,0.220,2131.91,21.93,-0.7,"11,131,437"
24/11/2017,63.73,2.700,2161.17,22.48,-0.85,"12,499,903"
01/12/2017,63.7,2.050,2105.99,21.46,-0.75,"9,237,218"
08/12/2017,63.39,0.850,2104.99,21.57,-0.45,"18,291,858"
15/12/2017,63.25,1.380,2143.99,21.93,-0.05,"14,537,122"
22/12/2017,65.04,3.280,2102.94,21.11,-0.25,"11,719,757"
29/12/2017,66.62,3.780,2109.74,21.21,-0.5,"8,962,554"
05/01/2018,67.79,3.220,2207.41,22.66,-0.65,"14,081,845"
12/01/2018,69.81,1.590,2262.38,23.31,-0.6,"13,774,279"
19/01/2018,68.65,-0.650,2286.33,23.3,-0.75,"13,335,076"
26/01/2018,70.29,1.680,2295.26,23.61,-0.6,"9,087,010"
02/02/2018,68.23,1.180,2281.84,22.98,-1.1,"16,106,975"
09/02/2018,62.71,-2.190,2197.12,21.67,-1.6,"11,278,141"
16/02/2018,64.9,1.960,2255.27,22.99,-2.1,"12,592,434"
02/03/2018,64.56,0.215,2288.84,23.25,-2.25,"12,167,924"
09/03/2018,65.49,-0.399,2311.69,23.48,-2.95,"13,440,643"
16/03/2018,65.99,0.540,2294.6,22.81,-2.1,"11,263,647"
23/03/2018,70.36,7.910,2285.53,22.5,-2,"11,993,206"
06/04/2018,66.93,0.680,2281.23,22.37,-2.25,"14,144,989"
13/04/2018,72.62,6.660,2175.16,20.38,-3.2,"12,723,430"
20/04/2018,73.71,3.620,2232.66,21,-3.4,"12,269,347"
27/04/2018,74.44,2.470,2301.49,21.29,-3.25,"12,173,889"
04/05/2018,75,1.110,2289.47,21.14,-3.05,"14,133,569"
11/05/2018,77.18,5.340,2345.26,21.5,-2.5,"11,336,916"
18/05/2018,78.71,4.600,2326.94,21.35,-1.55,"11,556,346"
25/05/2018,76.33,-0.720,2306.57,21.27,-1.2,"10,262,924"
01/06/2018,76.71,-0.770,2295.34,21.4,-1.35,"11,823,928"
08/06/2018,76.34,2.180,2267.92,21.02,-1.35,"12,705,100"
15/06/2018,73,-0.230,2237.53,20.37,-1.8,"12,154,550"
22/06/2018,75.53,0.400,2249.68,20.88,-1.95,"11,872,963"
29/06/2018,79.42,4.830,2295.95,21.24,-1.45,"8,501,131"
06/07/2018,77.29,2.180,2345.38,21.81,-1.95,"12,932,098"
13/07/2018,74.92,0.750,2346.43,21.79,-2.25,"14,682,023"
20/07/2018,73,1.890,2247.82,21.04,-2.2,"10,249,712"
27/07/2018,74.39,7.070,2292.72,21.4,-1.35,"12,178,792"
10/08/2018,72.96,3.580,2275.05,19.58,-1.1,"10,403,537"
17/08/2018,71.86,4.510,2255.12,19.84,-1,"12,594,950"
24/08/2018,75.43,8.340,2279.76,19.92,-0.75,"10,299,989"
31/08/2018,77.45,7.500,2345.85,20.03,-0.3,"14,163,373"
07/09/2018,77.1,1.140,2321.82,19.18,-0.25,"11,867,818"
14/09/2018,78.1,1.050,2360.26,20.18,-0.65,"11,431,820"
21/09/2018,78.77,0.760,2426.8,21.12,-1.8,"15,115,835"
28/09/2018,82.69,2.860,2475.36,21.56,-1.5,"17,228,527"
05/10/2018,84.11,2.070,2450.9,21.2,-1.8,"13,278,771"
12/10/2018,80.6,-3.600,2403.02,21.16,-2.15,"13,535,904"
19/10/2018,80.02,-1.400,2344.79,20.88,-2.5,"11,587,197"
26/10/2018,77.73,-0.920,2293.22,20.29,-1.55,"13,159,674"
09/11/2018,69.88,-7.590,2403.47,20.61,-0.3,"12,786,168"
16/11/2018,67.1,0.110,2372.67,21.01,-0.25,"13,047,650"
23/11/2018,59.19,-16.340,2342.97,20.45,0.4,"14,660,001"
30/11/2018,58.68,-1.520,2392.5,20.45,-0.2,"12,628,603"
07/12/2018,61.4,4.170,2431.29,20.71,-0.35,"11,348,034"
14/12/2018,60.25,-0.300,2365.69,20.23,0.13,"12,483,391"
21/12/2018,53.5,-4.090,2347.17,18.62,0.45,"13,469,005"
04/01/2019,57.42,6.780,2406.5,19.71,0,"11,871,381"
11/01/2019,60.59,6.660,2444.45,20.06,-0.25,"14,983,893"
18/01/2019,62.58,3.090,2473.61,20.51,0.5,"13,782,133"
25/01/2019,61.51,0.310,2498.23,20.74,-0.1,"12,886,930"
01/02/2019,62.9,0.320,2521.7,21.12,-0.1,"12,451,617"
08/02/2019,61.97,0.460,2502.82,20.76,-0.45,"15,217,567"
15/02/2019,64.88,4.520,2490.16,20.47,-0.05,"13,954,501"
22/02/2019,66.91,3.280,2488.63,20.73,-0.3,"14,945,215"
01/03/2019,65,1.850,2478.01,20.44,-0.75,"14,671,770"
15/03/2019,67.02,4.400,2476.73,20.87,0,"16,389,007"
22/03/2019,67.08,2.780,2492.7,20.9,-0.65,"14,971,592"
29/03/2019,68.39,2.440,2497.1,20.6,-0.2,"16,994,558"
05/04/2019,70.48,2.700,2540.99,21.19,0.5,"16,997,541"
12/04/2019,71.55,2.770,2559.72,21.45,0.05,"16,856,560"
26/04/2019,71.57,1.060,2563.72,21.42,0.2,"17,729,510"
03/05/2019,70.78,-0.660,2580.95,21.56,0.9,"16,126,575"
17/05/2019,72.17,2.090,2577.48,21.14,-0.05,"14,802,804"
31/05/2019,64.47,-4.490,2665.33,21.64,-1,"15,112,504"
07/06/2019,63.24,-3.060,2729.61,22.32,-2,"12,014,945"
14/06/2019,62.04,2.040,2739.28,22.79,-1.95,"13,182,809"
21/06/2019,65.35,7.790,2761.23,23.66,-2.35,"11,866,617"
28/06/2019,66.51,8.060,2765.85,23.63,-1.8,"13,980,131"
05/07/2019,64.44,5.430,2835.35,23.85,-2,"13,765,048"
12/07/2019,67,9.130,2777.58,23.92,-2,"14,058,458"
19/07/2019,62.65,2.790,2700.57,23.66,-2,"12,305,294"
26/07/2019,63.39,5.950,2715.68,23.64,0.2,"16,413,849"
02/08/2019,61.17,3.490,2674.9,22.57,0.8,"15,368,207"
09/08/2019,58.42,0.260,2679.71,22.38,-0.25,"14,949,161"
16/08/2019,58.64,4.280,2615.2,21.47,-0.75,"13,163,153"
23/08/2019,58.94,1.570,2660.74,21.74,-0.75,"18,023,241"
30/08/2019,60.43,2.240,2740.04,22.26,-1,"15,123,148"
06/09/2019,61.78,0.770,2797.55,23.07,-2.2,"14,196,672"
13/09/2019,60.25,0.520,2791.74,23.61,-1.65,"13,023,830"
20/09/2019,64.77,2.740,2796.41,23.43,-0.9,"10,243,935"
27/09/2019,61.91,-1.720,2757.98,22.98,-2.85,"8,236,559"
04/10/2019,58.43,-1.590,2692.55,22.51,-2.1,"11,728,656"
